LoanID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,TimeOfLoan,Deposit,LoanStatus
35,Product A,Male,Location 87,Region 6,20250,08/02/2020,20:25:08,1000,Active
36,Product B,Female,Location 19,Region 1,17600,24/07/2018,03:03:15,2200,Active
37,Product B,Male,Location 8,Region 6,17600,24/03/2018,14:24:52,2200,Active
38,Product B,Female,Location 115,Region 3,17600,22/02/2019,21:14:38,2200,Active
39,Product C,Male,Location 350,Region 4,16600,13/09/2016,04:08:07,1000,Active
40,Product B,Male,Location 377,Region 6,17600,12/10/2018,21:04:20,2200,Active
41,Product B,Male,Location 17,Region 6,17600,27/06/2018,07:19:27,2200,Active
42,Product B,Female,Location 113,Region 6,17600,26/02/2019,23:12:22,2200,Active
43,Product A,Female,Location 42,Region 2,20250,17/10/2019,02:48:13,1000,Active
44,Product C,Male,Location 602,Region 4,16600,04/02/2017,16:02:13,1000,Active
45,Product A,Female,Location 81,Region 6,20250,03/06/2020,22:43:18,1000,Active
46,Product B,Male,Location 58,Region 2,17600,24/05/2018,00:48:29,2200,Active
47,Product B,Male,Location 212,Region 2,17600,20/02/2018,07:38:51,2200,Active
48,Product B,Male,Location 53,Region 6,17600,10/05/2018,08:01:43,2200,Active
49,Product D,Male,Location 46,Region 6,21250,17/05/2017,08:35:14,2200,Active
50,Product A,Male,Location 3,Region 7,23250,17/06/2020,14:12:15,5000,Active
51,Product B,Male,Location 91,Region 3,17600,07/02/2019,14:54:20,2200,Active
52,Product A,Male,Location 337,Region 1,21250,11/12/2019,07:54:29,2200,Active
53,Product D,Female,Location 41,Region 6,21250,09/06/2017,15:40:25,2200,Active
54,Product B,Female,Location 42,Region 1,17600,12/04/2019,00:45:22,2200,Active
55,Product B,Male,Location 632,Region 6,17600,05/01/2019,19:37:17,2200,Active
56,Product B,Male,Location 73,Region 6,17600,21/03/2018,11:35:59,2200,Active
57,Product B,Female,Location 10,Region 6,,10/08/2018,22:51:51,2200,Active
58,Product B,Male,Location 53,Region 2,17600,12/01/2019,11:18:10,2200,
59,Product B,Female,Location 214,Region 6,17600,25/10/2018,20:04:22,2200,Active
60,Product B,Female,Location 218,Region 6,17600,12/06/2018,23:10:36,2200,Active
61,Product A,Female,Location 38,Region 6,20250,12/02/2020,05:23:20,1000,Active
62,Product C,Female,Location 172,Region 6,16600,09/11/2016,09:57:49,1000,Active
63,Product C,Male,Location 197,Region 1,16600,24/01/2017,08:13:25,1000,Active
64,Product D,NotSpecified,Location 61,Region 3,21250,07/07/2017,23:06:08,2200,Active
65,Product B,Male,Location 13,Region 6,17600,06/03/2019,00:45:01,2200,Active
66,Product A,Female,Location 101,Region 1,23250,04/08/2019,01:15:18,5000,Active
67,Product A,Male,Location 185,Region 7,23250,27/05/2019,03:16:33,5000,Active
68,Product D,Female,Location 129,Region 3,21250,09/04/2017,10:55:50,2200,Active
69,Product A,Female,Location 113,Region 6,21250,17/12/2019,07:04:26,2200,Active
70,Product B,Male,Location 62,Region 6,17600,11/11/2018,08:58:34,2200,Active
71,Product C,Female,Location 235,Region 1,16600,07/08/2016,19:24:29,1000,Active
72,Product B,Male,Location 3,Region 6,17600,16/09/2018,06:36:09,2200,Active
73,Product B,Male,Location 142,Region 16,17600,17/04/2018,09:52:36,2200,Active
74,Product A,Male,Location 50,Region 5,23250,25/04/2020,14:17:34,5000,Active
75,Product A,Male,Location 76,Region 1,21750,14/09/2019,22:25:10,3000,Active
76,Product A,Male,Location 11,Region 2,23250,11/09/2019,12:36:06,5000,Active
77,Product A,Male,Location 75,Region 2,20250,31/01/2020,13:06:45,1000,Active
78,Product D,Male,Location 33,Region 6,21250,28/07/2017,22:26:37,2200,Active
79,Product D,Female,Location 22,Region 6,21250,05/11/2017,13:59:29,2200,Active
80,Product D,Male,Location 145,Region 3,21250,29/08/2017,05:30:58,2200,Active
81,Product A,NotSpecified,Location 44,Region 2,20250,28/11/2019,12:50:36,1000,Active
82,Product B,Female,Location 203,Region 1,17600,10/06/2018,19:48:39,2200,Active
83,Product A,Female,Location 13,Region 2,23250,05/06/2019,21:42:37,5000,Active
84,Product D,Male,Location 94,Region 6,21250,22/07/2017,04:56:28,2200,Active
85,Product B,Female,Location 26,Region 3,17600,16/03/2018,23:39:32,2200,Active
86,Product A,Male,Location 94,Region 2,20250,03/06/2020,01:40:43,1000,Active
87,Product A,Female,Location 62,Region 7,23250,06/12/2019,04:29:44,5000,Active
88,Product C,Male,Location 573,Region 4,17600,27/04/2018,05:29:27,2200,Active
89,Product A,Male,Location 27,Region 5,20250,21/12/2019,16:10:32,1000,Active
90,Product B,Male,Location 17,Region 3,17600,23/12/2018,21:05:21,2200,
91,Product A,Male,Location 186,Region 7,,30/05/2019,01:48:53,5000,Active
92,Product D,Male,Location 27,Region 3,21250,22/04/2017,00:53:21,2200,Active
93,Product B,Male,Location 4,Region 1,17600,26/10/2018,18:28:30,2200,Active
94,Product B,Male,Location 377,Region 6,17600,15/04/2019,22:51:15,2200,Active
95,Product A,Female,Location 73,Region 2,20250,09/08/2019,04:33:00,1000,Active
96,Product B,Female,Location 4,Region 7,17600,11/05/2019,12:30:03,2200,Active
97,Product B,Female,Location 70,Region 3,17600,01/06/2018,01:39:14,2200,Active
98,Product A,Male,Location 45,Region 4,23250,25/12/2019,21:29:35,5000,Active
99,Product A,Male,Location 3,Region 4,23250,23/07/2019,11:16:19,5000,Active
100,Product B,Female,Location 262,Region 1,17600,30/08/2018,15:51:41,2200,Active
101,Product B,Male,Location 91,Region 2,17600,03/02/2018,22:51:51,2200,Active
102,Product A,Female,Location 111,Region 2,20250,29/02/2020,11:18:10,1000,Active
103,Product B,Female,Location 84,Region 3,17600,15/05/2019,20:04:22,2200,Active
104,Product A,Male,Location 25,Region 6,23250,28/08/2019,23:10:36,5000,Active
105,Product A,Male,Location 108,Region 3,20250,08/02/2020,05:23:20,1000,Active
106,Product B,Male,Location 58,Region 2,17600,11/03/2018,09:57:49,2200,Active
107,Product B,Male,Location 48,Region 6,17600,26/03/2019,08:13:25,2200,Active
108,Product A,Female,Location 7,Region 3,20250,13/08/2019,23:06:08,1000,Active
109,Product B,Female,Location 87,Region 1,17600,05/05/2018,00:45:01,2200,Active
110,Product A,Male,Location 74,Region 2,23250,23/05/2019,01:15:18,5000,Active
111,Product B,Male,Location 17,Region 1,17600,24/02/2018,03:16:33,2200,Active
112,Product C,Male,Location 53,Region 6,16600,10/12/2016,10:55:50,1000,Active
113,Product B,Male,Location 53,Region 6,17600,07/11/2018,07:04:26,2200,Active
114,Product D,Female,Location 73,Region 6,21250,16/12/2017,08:58:34,2200,Active
115,Product B,Male,Location 4,Region 3,17600,29/04/2019,19:24:29,2200,Active
116,Product A,Male,Location 73,Region 1,20250,07/05/2020,06:36:09,1000,Active
117,Product A,Female,Location 450,Region 4,20250,06/05/2020,09:52:36,1000,Active
118,Product A,Female,Location 48,Region 2,20250,22/11/2019,14:17:34,1000,Active
119,Product C,NotSpecified,Location 47,Region 3,16600,26/06/2016,22:25:10,1000,Active
120,Product A,Male,Location 37,Region 3,23250,30/07/2019,12:36:06,5000,Active
121,Product A,Male,Location 6,Region 4,23250,03/08/2019,13:06:45,5000,Active
122,Product B,Female,Location 43,Region 2,17600,09/04/2018,22:26:37,2200,Active
123,Product D,NotSpecified,Location 19,Region 6,21250,09/07/2017,13:59:29,2200,Active
124,Product B,Female,Location 25,Region 6,17600,25/07/2018,05:30:58,2200,Active
125,Product B,Male,Location 286,Region 6,17600,16/08/2018,12:50:36,2200,Active
126,Product A,Female,Location 11,Region 1,21750,11/09/2019,19:48:39,3000,Active
127,Product A,Male,Location 89,Region 2,21250,30/07/2020,21:42:37,2200,
128,Product B,NotSpecified,Location 24,Region 2,17600,31/10/2018,04:56:28,2200,Active
129,Product B,Female,Location 97,Region 6,17600,05/06/2018,23:39:32,2200,Active
130,Product B,Male,Location 144,Region 3,17600,15/02/2019,01:40:43,2200,Active
131,Product C,Male,Location 40,Region 1,16600,18/01/2017,04:29:44,1000,Active
132,Product B,Female,Location 3,Region 2,17600,25/04/2019,05:29:27,2200,Active
133,Product C,Male,Location 128,Region 6,16600,24/07/2016,16:10:32,1000,Active
134,Product A,Male,Location 19,Region 2,20250,28/12/2019,21:05:21,1000,Active
135,Product D,Male,Location 46,Region 6,17600,17/02/2018,01:48:53,2200,Active
136,Product B,Male,Location 73,Region 7,17600,23/03/2018,00:53:21,2200,Active
137,Product D,Male,Location 169,Region 2,21250,18/05/2017,18:28:30,2200,Active
138,Product A,Male,Location 399,Region 2,20250,05/02/2020,22:51:15,1000,Active
139,Product C,Female,Location 23,Region 6,16600,12/08/2016,04:33:00,1000,Active
140,Product B,Female,Location 191,Region 3,17600,23/04/2019,12:30:03,2200,Active
141,Product B,Male,Location 38,Region 1,17600,20/03/2019,01:39:14,2200,Active
142,Product B,Male,Location 142,Region 3,17600,05/05/2018,21:29:35,2200,Active
143,Product C,Male,Location 8,Region 9,16600,03/08/2016,11:16:19,1000,Active
144,Product B,Male,Location 178,Region 2,17600,26/10/2018,15:51:41,2200,Active
145,Product C,Female,Location 8,Region 2,16600,11/05/2016,22:51:51,1000,Active
146,Product A,Male,Location 510,Region 3,20250,20/01/2020,11:18:10,1000,Active
147,Product A,Male,Location 19,Region 7,23250,13/03/2020,20:04:22,5000,Active
148,Product A,Female,Location 25,Region 3,21250,14/07/2020,23:10:36,2200,Active
149,Product A,Female,Location 600,Region 1,20250,06/10/2019,05:23:20,1000,Active
150,Product A,Male,Location 62,Region 8,23250,08/10/2019,09:57:49,5000,Active
151,Product B,Male,Location 188,Region 5,17600,21/08/2018,08:13:25,2200,Active
152,Product A,Male,Location 67,Region 1,23250,03/11/2019,23:06:08,5000,Active
153,Product E,Female,Location 49,Region 6,55625,22/07/2020,00:45:01,8000,Active
154,Product E,Male,Location 29,Region 3,55625,08/01/2020,01:15:18,8000,Active
155,Product B,NotSpecified,Location 17,Region 2,17600,18/12/2018,03:16:33,2200,Active
156,Product A,Female,Location 62,Region 3,23250,11/03/2020,10:55:50,5000,Active
157,Product A,Female,Location 53,Region 3,23250,08/06/2019,07:04:26,5000,Active
158,Product A,Male,Location 75,Region 6,23250,22/12/2019,08:58:34,5000,Active
159,Product A,Female,Location 214,Region 6,23250,03/09/2019,19:24:29,5000,Active
160,Product C,Female,Location 70,Region 3,16600,20/07/2016,06:36:09,1000,
161,Product A,Male,Location 377,Region 3,,21/12/2019,09:52:36,1000,Active
162,Product B,Female,Location 222,Region 6,17600,29/01/2019,14:17:34,2200,Active
163,Product A,Female,Location 3,Region 10,23250,11/03/2020,22:25:10,5000,Active
164,Product D,Female,Location 386,Region 3,21250,16/08/2017,12:36:06,2200,Active
165,Product A,Female,Location 88,Region 1,23250,06/06/2019,13:06:45,5000,Active
166,Product B,Male,Location 104,Region 3,17600,29/09/2018,22:26:37,2200,Active
167,Product A,Female,Location 21,Region 2,20250,26/03/2020,13:59:29,1000,Active
168,Product A,NotSpecified,Location 405,Region 3,21250,17/12/2019,05:30:58,2200,Active
169,Product B,Male,Location 6,Region 2,17600,13/09/2018,12:50:36,2200,Active
170,Product D,Male,Location 62,Region 1,21250,24/05/2017,19:48:39,2200,Active
171,Product B,Male,Location 114,Region 2,17600,30/08/2018,21:42:37,2200,Active
172,Product B,Male,Location 259,Region 2,17600,04/05/2018,04:56:28,2200,Active
173,Product D,Female,Location 13,Region 1,21250,12/11/2017,23:39:32,2200,Active
174,Product A,NotSpecified,Location 182,Region 1,21250,07/01/2020,01:40:43,2200,Active
175,Product B,Male,Location 12,Region 3,17600,18/12/2018,04:29:44,2200,Active
176,Product A,Male,Location 228,Region 5,21250,27/12/2019,05:29:27,2200,Active
177,Product A,Female,Location 6,Region 6,20250,07/08/2019,16:10:32,1000,Active
178,Product B,Female,Location 149,Region 8,17600,09/05/2018,21:05:21,2200,Active
179,Product A,Female,Location 90,Region 1,21750,04/09/2019,01:48:53,3000,Active
180,Product D,Male,Location 46,Region 2,21250,19/10/2017,00:53:21,2200,Active
181,Product A,Male,Location 104,Region 6,23250,31/08/2019,18:28:30,5000,Active
182,Product B,Male,Location 109,Region 1,17600,20/08/2018,22:51:15,2200,Active
183,Product A,Female,Location 111,Region 13,21250,16/07/2020,04:33:00,2200,Active
184,Product D,Female,Location 19,Region 3,21250,30/03/2017,12:30:03,2200,Active
185,Product B,Female,Location 37,Region 2,17600,31/08/2018,01:39:14,2200,Active
186,Product A,Male,Location 441,Region 2,21250,03/01/2020,21:29:35,2200,Active
187,Product A,Male,Location 46,Region 2,21750,28/09/2019,11:16:19,3000,Active
188,Product B,Male,Location 22,Region 6,17600,23/07/2018,15:51:41,2200,Active
189,Product B,Male,Location 8,Region 3,17600,16/12/2018,22:51:51,2200,Active
190,Product A,Female,Location 421,Region 6,23250,12/06/2019,11:18:10,5000,Active
191,Product A,Female,Location 641,Region 3,23250,28/08/2019,20:04:22,5000,Active
192,Product A,Male,Location 195,Region 4,23250,11/07/2019,23:10:36,5000,Active
193,Product B,Male,Location 94,Region 6,17600,04/01/2019,05:23:20,2200,
194,Product E,Female,Location 30,Region 3,55625,08/06/2020,09:57:49,8000,Active
195,Product B,Male,Location 44,Region 6,17600,23/05/2018,08:13:25,2200,Active
196,Product A,Male,Location 20,Region 2,23250,06/06/2019,23:06:08,5000,Active
197,Product B,Male,Location 26,Region 3,17600,28/11/2018,00:45:01,2200,Active
198,Product D,Male,Location 22,Region 6,21250,28/08/2017,01:15:18,2200,Active
199,Product A,Male,Location 161,Region 12,23250,22/06/2020,03:16:33,5000,Active
200,Product C,Male,Location 117,Region 2,16600,27/05/2016,10:55:50,1000,Active
201,Product D,Female,Location 4,Region 3,21250,24/06/2017,07:04:26,2200,Active
202,Product B,Female,Location 200,Region 4,17600,13/05/2018,08:58:34,2200,Active
203,Product E,Male,Location 10,Region 2,55625,21/12/2019,19:24:29,8000,Active
204,Product B,NotSpecified,Location 106,Region 2,17600,03/01/2019,06:36:09,2200,Active
205,Product B,Male,Location 30,Region 3,17600,05/03/2018,09:52:36,2200,Active
206,Product A,Male,Location 25,Region 4,23250,21/04/2020,14:17:34,5000,Active
207,Product A,Female,Location 42,Region 2,20250,07/02/2020,22:25:10,1000,Active
208,Product A,Female,Location 31,Region 3,20250,09/12/2019,12:36:06,1000,Active
209,Product A,Female,Location 111,Region 6,20250,14/11/2019,13:06:45,1000,Active
210,Product A,Male,Location 48,Region 3,23250,10/06/2020,22:26:37,5000,Active
211,Product C,Female,Location 44,Region 3,16600,31/12/2016,13:59:29,1000,Active
212,Product A,Male,Location 89,Region 6,23250,06/09/2019,05:30:58,5000,Active
213,Product C,Female,Location 122,Region 1,16600,24/09/2016,12:50:36,1000,Active
214,Product B,Male,Location 541,Region 2,17600,24/05/2018,19:48:39,2200,Active
215,Product A,Female,Location 67,Region 3,23250,30/05/2019,21:42:37,5000,Active
216,Product A,Female,Location 111,Region 3,23250,27/03/2020,04:56:28,5000,Active
217,Product B,Male,Location 87,Region 3,17600,10/05/2018,23:39:32,2200,Active
218,Product A,Male,Location 495,Region 2,21750,25/09/2019,01:40:43,3000,Active
219,Product A,Female,Location 193,Region 15,20250,23/04/2020,04:29:44,1000,Active
220,Product B,Male,Location 39,Region 2,17600,23/04/2019,05:29:27,2200,Active
221,Product B,Male,Location 25,Region 7,,08/03/2018,16:10:32,2200,Active
222,Product B,Male,Location 26,Region 1,17600,27/12/2018,21:05:21,2200,Active
223,Product A,Female,Location 9,Region 2,23250,03/09/2019,01:48:53,5000,Active
224,Product A,Female,Location 86,Region 6,20250,01/01/2020,00:53:21,1000,Active
225,Product B,Male,Location 107,Region 4,17600,19/11/2018,18:28:30,2200,Active
226,Product B,Male,Location 44,Region 2,17600,06/02/2019,22:51:15,2200,Active
227,Product A,Female,Location 25,Region 6,20250,20/10/2019,04:33:00,1000,Active
228,Product A,Male,Location 198,Region 1,20250,21/04/2020,12:30:03,1000,Active
229,Product B,Male,Location 34,Region 3,17600,10/03/2018,01:39:14,2200,
230,Product D,Male,Location 46,Region 2,21250,28/09/2017,21:29:35,2200,Active
231,Product A,Female,Location 318,Region 2,23250,21/06/2019,11:16:19,5000,Active
232,Product C,Female,Location 11,Region 3,16600,15/03/2017,15:51:41,1000,Active
233,Product B,Female,Location 104,Region 1,17600,05/09/2018,22:51:51,2200,Active
234,Product B,Male,Location 135,Region 3,17600,22/03/2018,11:18:10,2200,Active
235,Product E,Male,Location 113,Region 2,55625,22/04/2020,20:04:22,8000,Active
236,Product A,Male,Location 177,Region 2,20250,26/05/2020,23:10:36,1000,
237,Product A,Male,Location 87,Region 3,23250,04/06/2019,05:23:20,5000,Active
238,Product B,Female,Location 94,Region 2,17600,23/04/2019,09:57:49,2200,Active
239,Product A,Female,Location 25,Region 3,23250,13/06/2019,08:13:25,5000,Active
240,Product A,Male,Location 25,Region 6,20250,28/03/2020,23:06:08,1000,Active
241,Product A,Male,Location 32,Region 3,20250,24/03/2020,00:45:01,1000,Active
242,Product A,Male,Location 591,Region 6,21750,27/09/2019,01:15:18,3000,Active
243,Product A,NotSpecified,Location 6,Region 6,21750,17/09/2019,03:16:33,3000,Active
244,Product B,Male,Location 39,Region 6,17600,22/04/2018,10:55:50,2200,Active
245,Product B,Male,Location 218,Region 6,17600,09/01/2019,07:04:26,2200,Active
246,Product A,Male,Location 488,Region 6,23250,27/10/2019,08:58:34,5000,Active
247,Product B,NotSpecified,Location 142,Region 3,17600,23/04/2018,19:24:29,2200,Active
248,Product B,Male,Location 418,Region 6,17600,14/07/2018,06:36:09,2200,Active
249,Product B,NotSpecified,Location 34,Region 10,17600,01/11/2018,09:52:36,2200,Active
250,Product B,Female,Location 50,Region 4,17600,28/08/2018,14:17:34,2200,Active
251,Product C,Female,Location 84,Region 6,16600,01/11/2016,22:25:10,1000,Active
252,Product A,Female,Location 39,Region 6,20250,20/11/2019,12:36:06,1000,Active
253,Product D,Female,Location 149,Region 6,21250,05/05/2017,13:06:45,2200,Active
254,Product A,Male,Location 49,Region 3,23250,16/02/2020,22:26:37,5000,Active
255,Product A,Female,Location 58,Region 2,20250,17/11/2019,13:59:29,1000,Active
256,Product A,Male,Location 32,Region 7,23250,22/07/2019,05:30:58,5000,Active
257,Product A,Female,Location 44,Region 6,23250,21/02/2020,12:50:36,5000,Active
258,Product A,Male,Location 587,Region 3,23250,23/08/2019,19:48:39,5000,Active
259,Product B,Female,Location 129,Region 15,17600,23/01/2018,21:42:37,2200,Active
260,Product D,Male,Location 26,Region 4,21250,23/06/2017,04:56:28,2200,Active
261,Product B,Male,Location 58,Region 6,17600,27/10/2018,23:39:32,2200,Active
262,Product B,Male,Location 454,Region 6,17600,02/08/2018,01:40:43,2200,Active
263,Product B,Male,Location 45,Region 5,17600,08/11/2018,04:29:44,2200,
264,Product A,Female,Location 30,Region 15,20250,07/12/2019,05:29:27,1000,Active
265,Product B,NotSpecified,Location 22,Region 11,17600,07/06/2018,16:10:32,2200,Active
266,Product B,NotSpecified,Location 19,Region 4,17600,16/02/2018,21:05:21,2200,Active
267,Product C,Male,Location 88,Region 6,16600,06/03/2017,01:48:53,1000,Active
268,Product B,Female,Location 8,Region 1,17600,03/10/2018,00:53:21,2200,Active
269,Product A,Male,Location 62,Region 4,23250,26/07/2019,18:28:30,5000,Active
270,Product A,Male,Location 26,Region 3,20250,13/10/2019,22:51:15,1000,Active
271,Product A,Female,Location 91,Region 2,,02/01/2020,04:33:00,5000,Active
272,Product A,Male,Location 97,Region 3,23250,01/02/2020,12:30:03,5000,Active
273,Product C,Female,Location 114,Region 7,16600,05/01/2017,01:39:14,1000,Active
274,Product C,Male,Location 61,Region 2,16600,11/08/2016,21:29:35,1000,Active
275,Product B,Male,Location 233,Region 3,17600,24/01/2018,11:16:19,2200,Active
276,Product A,Male,Location 30,Region 2,20250,09/08/2019,15:51:41,1000,Active
277,Product B,NotSpecified,Location 49,Region 6,17600,27/03/2018,22:51:51,2200,Active
278,Product E,Female,Location 78,Region 3,55625,20/02/2020,11:18:10,8000,Active
279,Product B,Male,Location 61,Region 1,17600,23/05/2018,20:04:22,2200,Active
280,Product B,Male,Location 543,Region 7,17600,21/06/2018,23:10:36,2200,Active
281,Product B,Female,Location 25,Region 3,17600,08/04/2019,05:23:20,2200,Active
282,Product A,Male,Location 88,Region 1,20250,27/12/2019,09:57:49,1000,Active
283,Product A,Male,Location 3,Region 6,23250,13/07/2019,08:13:25,5000,
284,Product A,Male,Location 489,Region 6,23250,11/04/2020,23:06:08,5000,Active
285,Product B,Male,Location 30,Region 6,17600,23/07/2018,00:45:01,2200,Active
286,Product A,Male,Location 60,Region 1,20250,12/11/2019,01:15:18,1000,Active
287,Product A,Female,Location 67,Region 4,20250,07/06/2020,03:16:33,1000,Active
288,Product C,Male,Location 52,Region 5,16600,07/02/2017,10:55:50,1000,Active
289,Product E,Male,Location 38,Region 1,55625,06/05/2020,07:04:26,8000,Active
290,Product B,Female,Location 11,Region 3,17600,05/10/2018,08:58:34,2200,Active
291,Product B,Male,Location 113,Region 12,17600,30/10/2018,19:24:29,2200,Active
292,Product C,Male,Location 548,Region 8,16600,31/01/2017,06:36:09,1000,Active
293,Product D,Male,Location 161,Region 3,21250,10/11/2017,09:52:36,2200,Active
294,Product A,Female,Location 15,Region 1,20250,11/11/2019,14:17:34,1000,Active
295,Product A,Female,Location 240,Region 4,20250,12/03/2020,22:25:10,1000,Active
296,Product C,Male,Location 658,Region 3,16600,31/01/2017,12:36:06,1000,Active
297,Product C,Female,Location 94,Region 7,16600,05/02/2017,13:06:45,1000,Active
298,Product A,Female,Location 67,Region 1,20250,18/05/2020,22:26:37,1000,Active
299,Product B,Male,Location 10,Region 6,17600,31/03/2019,13:59:29,2200,Active
300,Product D,Male,Location 113,Region 2,21250,26/09/2017,05:30:58,2200,Active
301,Product A,Female,Location 73,Region 2,21750,27/09/2019,12:50:36,3000,Active
302,Product B,NotSpecified,Location 87,Region 3,17600,19/02/2019,19:48:39,2200,Active
303,Product B,Male,Location 209,Region 2,17600,20/02/2018,21:42:37,2200,Active
304,Product B,Male,Location 151,Region 2,17600,24/11/2018,04:56:28,2200,Active
305,Product A,Male,Location 12,Region 2,23250,29/05/2019,23:39:32,5000,Active
306,Product B,Male,Location 53,Region 3,17600,20/04/2018,01:40:43,2200,Active
307,Product A,Male,Location 26,Region 2,23250,31/12/2019,04:29:44,5000,Active
308,Product A,Male,Location 192,Region 1,21250,16/01/2020,05:29:27,2200,Active
309,Product B,Male,Location 364,Region 6,17600,12/01/2019,16:10:32,2200,Active
310,Product A,Male,Location 33,Region 6,20250,12/01/2020,21:05:21,1000,Active
311,Product A,Female,Location 30,Region 1,23250,31/05/2019,01:48:53,5000,Active
312,Product B,Male,Location 39,Region 4,17600,01/06/2019,00:53:21,2200,Active
313,Product C,Male,Location 18,Region 7,16600,15/11/2016,18:28:30,1000,Active
314,Product B,Female,Location 45,Region 6,17600,13/04/2019,22:51:15,2200,Active
315,Product B,Male,Location 8,Region 3,17600,03/10/2018,04:33:00,2200,Active
316,Product C,Female,Location 503,Region 3,16600,09/12/2016,12:30:03,1000,Active
317,Product B,Male,Location 46,Region 3,17600,23/02/2019,01:39:14,2200,Active
318,Product D,Male,Location 61,Region 4,21250,06/06/2017,21:29:35,2200,Active
319,Product A,Male,Location 19,Region 6,20250,24/04/2020,11:16:19,1000,Active
320,Product D,Male,Location 70,Region 3,21250,09/01/2018,15:51:41,2200,Active
321,Product B,Male,Location 482,Region 7,17600,24/02/2018,22:51:51,2200,Active
322,Product A,Male,Location 30,Region 6,23250,07/03/2020,11:18:10,5000,Active
323,Product B,Female,Location 460,Region 2,17600,24/01/2019,20:04:22,2200,Active
324,Product A,Male,Location 67,Region 6,23250,07/06/2020,23:10:36,5000,Active
325,Product A,Male,Location 22,Region 3,23250,15/08/2019,05:23:20,5000,Active
326,Product A,Female,Location 60,Region 3,20250,13/12/2019,09:57:49,1000,Active
327,Product E,Male,Location 37,Region 3,55625,10/04/2020,08:13:25,8000,Active
328,Product C,Male,Location 71,Region 3,14775,06/01/2018,23:06:08,1000,Active
329,Product B,Male,Location 91,Region 3,17600,23/04/2018,00:45:01,2200,Active
330,Product B,Male,Location 10,Region 6,16300,24/03/2019,01:15:18,2200,Active
331,Product A,Female,Location 46,Region 3,,02/10/2019,03:16:33,5000,Active
332,Product A,Male,Location 8,Region 6,20450,02/10/2019,10:55:50,3000,Active
333,Product B,Male,Location 377,Region 5,16300,07/04/2018,07:04:26,2200,
334,Product A,Female,Location 3,Region 8,18950,24/01/2020,08:58:34,1000,Active
335,Product A,Male,Location 350,Region 4,21950,05/07/2019,19:24:29,5000,Active
336,Product A,Male,Location 350,Region 2,19950,31/07/2020,06:36:09,2200,Active
337,Product A,Female,Location 3,Region 6,21950,12/02/2020,09:52:36,5000,Active
338,Product A,Female,Location 69,Region 10,18950,19/12/2019,14:17:34,1000,Active
