SaleID,RetailerCountry,RetailerType,Product,DateOfSale,TimeOfSale,Timezone
SaleID_24,China,Outdoors Shop,,01/02/2020,04:21:18,CST6CDT
SaleID_25,China,Mall,Venue,16/09/2020,23:10:18,CST6CDT
SaleID_26,China,Mall,Infinity,05/03/2019,13:23:53,CST6CDT
SaleID_27,China,Mall,Lux,21/04/2019,15:22:10,CST6CDT
SaleID_28,China,Mall,Sam,12/10/2019,04:54:42,CST6CDT
SaleID_29,China,Mall,TX,29/06/2020,08:31:11,CST6CDT
SaleID_30,Germany,Online Retailer,Firefly 2,21/05/2019,14:03:10,CET
SaleID_31,Germany,Online Retailer,Firefly Climbing Lamp,24/02/2019,19:16:17,CET
SaleID_32,Germany,Online Retailer,Granite Grip,08/12/2020,07:43:15,CET
SaleID_33,Canada,Outdoors Shop,Venue,16/01/2019,13:33:16,EST
SaleID_34,Canada,Outdoors Shop,TX,30/09/2020,07:16:01,EST
SaleID_35,Canada,Outdoors Shop,Legend,20/12/2020,20:25:08,EST
SaleID_36,Canada,Outdoors Shop,Kodiak,14/05/2019,03:03:15,EST
SaleID_37,Canada,Outdoors Shop,Capri,11/01/2019,14:24:52,EST
SaleID_38,Canada,Mall,Trail Master,31/12/2020,21:14:38,EST
SaleID_39,Canada,Mall,Hailstorm Titanium Woods Set,07/08/2020,04:08:07,EST
SaleID_40,Canada,Mall,Lady Hailstorm Steel Woods Set,10/04/2020,21:04:20,EST
SaleID_41,Canada,Mall,Course Pro Putter,14/08/2019,07:19:27,EST
SaleID_42,Canada,Mall,Blue Steel Max Putter,30/06/2019,23:12:22,EST
SaleID_43,Canada,Department Store,TrailChef Water Bag,11/09/2019,02:48:13,EST
SaleID_44,Canada,Sports Store,Edge Extreme,20/03/2019,16:02:13,EST
SaleID_45,Canada,Sports Store,Bear Edge,08/08/2019,22:43:18,EST
SaleID_46,Canada,Sports Store,Bear Survival Edge,24/05/2020,00:48:29,EST
SaleID_47,Canada,Sports Store,Max Gizmo,24/10/2020,07:38:51,EST
SaleID_48,Canada,Sports Store,Pocket Gizmo,15/01/2020,08:01:43,EST
SaleID_49,Canada,Sports Store,Seeker 35,27/09/2019,08:35:14,EST
SaleID_50,Canada,Sports Store,Seeker 50,08/05/2020,14:12:15,EST
SaleID_51,Canada,Sports Store,Seeker Extreme,07/05/2020,14:54:20,EST
SaleID_52,Canada,Sports Store,Seeker Mini,05/12/2020,07:54:29,EST
SaleID_53,Canada,Sports Store,Opera Vision,03/01/2019,15:40:25,EST
SaleID_54,Canada,Sports Store,Ranger Vision,26/09/2019,00:45:22,EST
SaleID_55,Canada,Sports Store,Glacier Basic,10/01/2019,19:37:17,EST
SaleID_56,Canada,Sports Store,Glacier Deluxe,18/07/2020,11:35:59,EST
SaleID_57,Canada,Sports Store,Glacier GPS,12/09/2019,22:51:51,EST
SaleID_58,Canada,Outdoors Shop,Mountain Man Digital,17/03/2020,11:18:10,EST
SaleID_59,Canada,Outdoors Shop,Mountain Man Deluxe,06/12/2020,20:04:22,EST
SaleID_60,Canada,Outdoors Shop,Polar Sun,01/02/2019,23:10:36,EST
SaleID_61,Canada,Outdoors Shop,Polar Ice,28/01/2020,05:23:20,EST
SaleID_62,Canada,Outdoors Shop,Polar Extreme,04/11/2019,09:57:49,EST
SaleID_63,Canada,Outdoors Shop,Edge Extreme,26/11/2020,08:13:25,EST
SaleID_64,Canada,Outdoors Shop,Seeker 50,10/05/2020,23:06:08,EST
SaleID_65,Switzerland,Sports Store,Polar Sun,08/09/2019,00:45:01,CET
SaleID_66,Switzerland,Sports Store,Polar Ice,26/03/2020,01:15:18,CET
SaleID_67,Switzerland,Sports Store,Polar Sports,12/02/2020,03:16:33,CET
SaleID_68,Switzerland,Department Store,Lady Hailstorm Steel Irons,28/08/2019,10:55:50,CET
SaleID_69,Switzerland,Department Store,Blue Steel Putter,16/11/2019,07:04:26,CET
SaleID_70,United Kingdom,Outdoors Shop,Sun Shelter 15,02/07/2020,08:58:34,GMT
SaleID_71,United Kingdom,Outdoors Shop,Compact Relief Kit,19/09/2020,19:24:29,GMT
SaleID_72,Austria,Mall,Course Pro Golf and Tee Set,30/05/2019,06:36:09,CET
SaleID_73,Austria,Mall,Course Pro Umbrella,26/03/2019,09:52:36,CET
SaleID_74,Austria,Mall,Course Pro Golf Bag,03/07/2020,14:17:34,CET
SaleID_75,Austria,Mall,Course Pro Gloves,14/03/2019,22:25:10,CET
SaleID_76,Austria,Department Store,Venue,04/06/2020,12:36:06,CET
SaleID_77,Austria,Department Store,Infinity,11/05/2020,13:06:45,CET
SaleID_78,Austria,Department Store,Sam,29/03/2020,22:26:37,CET
SaleID_79,Austria,Warehouse Store,Firefly Multi-light,21/05/2019,13:59:29,CET
SaleID_80,Austria,Warehouse Store,EverGlow Single,12/05/2020,05:30:58,CET
SaleID_81,Austria,Warehouse Store,EverGlow Kerosene,10/11/2019,12:50:36,CET
SaleID_82,Austria,Outdoors Shop,TX,25/09/2019,19:48:39,CET
SaleID_83,Austria,Outdoors Shop,Legend,10/03/2020,21:42:37,CET
SaleID_84,Austria,Outdoors Shop,Kodiak,07/06/2019,04:56:28,CET
SaleID_85,Austria,Outdoors Shop,Polar Sun,08/12/2020,23:39:32,CET
SaleID_86,Austria,Outdoors Shop,Polar Extreme,31/10/2019,01:40:43,CET
SaleID_87,Austria,Sports Store,Star Peg,19/01/2019,04:29:44,CET
SaleID_88,Austria,Sports Store,Hibernator,10/05/2020,05:29:27,CET
SaleID_89,Austria,Sports Store,Hibernator Self - Inflating Mat,28/12/2019,16:10:32,CET
SaleID_90,Austria,Sports Store,Hibernator Pad,21/05/2020,21:05:21,CET
SaleID_91,Austria,Sports Store,Canyon Mule Weekender Backpack,23/09/2019,01:48:53,CET
SaleID_92,Austria,Sports Store,Canyon Mule Extreme Backpack,29/09/2019,00:53:21,CET
SaleID_93,Austria,Sports Store,Firefly Mapreader,04/09/2019,18:28:30,CET
SaleID_94,Austria,Sports Store,Firefly 4,03/03/2019,22:51:15,CET
SaleID_95,Austria,Sports Store,Mountain Man Deluxe,21/06/2020,04:33:00,CET
SaleID_96,Austria,Sports Store,Mountain Man Extreme,23/07/2019,12:30:03,CET
SaleID_97,Australia,Department Store,Firefly Mapreader,03/01/2019,01:39:14,Australia/ACT
SaleID_98,Australia,Discount Retailer,Polar Sun,14/02/2019,21:29:35,Australia/ACT
SaleID_99,Australia,Discount Retailer,Polar Ice,19/06/2020,11:16:19,Australia/ACT
SaleID_100,Australia,Discount Retailer,Polar Sports,25/05/2019,15:51:41,Australia/ACT
